nK2-18 b,Confirmed,0.025,0.00601,0.00601,0.025,0.00601,0.00601,0.2,0.021,0.021,32.93963,0.0001,0.0001,0.143,0.006,0.006,0.43,nan,0,,,,,2015,7/17/17,,,,,,,2457264.392,0.00059,0.00059,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-18,172.560461,7.588391,,,,,,34,4,4,0.09,0.09,0.09,0.413,0.043,0.043,0.394,0.038,0.038,,,,,3503,60,60,,,EPIC 201912552
K2-3 d,Confirmed,0.0349,0.011,0.011,0.0349,0.011,0.011,0.135,0.021,0.021,44.5598,0.0059,0.0059,0.2086,0.01,0.01,0.045,0.045,0.045,89.79,0.15,0.15,,2015,12/1/15,,,,,,,,,,2456826.223,0.0037,0.0043,,,,,,,0.359,0.27,0.089,,,,,,,282,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,K2-3,172.3333333,-1.454722235,12.17,10.999,9.421,8.805,8.561,42,2,2,-0.3,0.06,0.07,0.612,0.086,0.086,0.553,0.041,0.041,M0.0V,1,inf,nan,3951,38,33,,,EPIC 201367065 
K2-9 b,Confirmed,,,,,,,0.143,0.037,0.037,18.44883,0.00137,0.00137,0.0848,0.005,0.005,,,,,,,,2015,5/30/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,K2-9,176.264467,0.005301,,,,,,66,7,11,-0.46,0.1,0.12,0.24,0.03,0.05,0.25,0.03,0.04,,,,,3468,19,20,,,EPIC 201465501
KOI-4427.01,Confirmed,,,,,,,0.164,0.021,0.021,147.6606,0.0014,0.0011,0.419,0.081,0.073,0.02,0.02,0.07,89.97,0.08,0.03,,2015,7/27/15,,,,,,,,,,2455815.262,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,KOI-4427,295.1166667,39.27416668,9.34,,,,,240,32,39,-0.07,0.14,0.14,0.526,0.04,0.062,0.505,0.038,0.065,,3.6,2.6,1.3,3813,112,112,,,
Kepler-1229 b,Confirmed,,,,,,,0.125,0.012,0.01,86.828989,0.001069,0.001069,,,,,,,,,,,2016,5/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1229,297.486691,46.996716,,,13.228,12.573,12.374,236,,,-0.06,0.109,0.086,0.54,0.04,0.03,0.51,0.03,0.03,,,,,3784,38.61,38.88,,,
Kepler-1410 b,Confirmed,,,,,,,0.159,0.012,0.011,60.866168,0.0005161,0.0005161,,,,,,,,,,,2016,5/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1410,290.510198,38.743544,,,13.586,12.906,12.767,367,,,0.01,0.152,0.152,0.63,0.04,0.04,0.6,0.04,0.03,,,,,4092,77.85,100.24,,,
Kepler-150 f,Confirmed,0.0283,0.00475,0.00431,,,,0.325,0.035,0.046,637.2093,0.0154,0.0169,1.24,0.45,0.29,,,,90,0.19,0.19,,2017,3/29/17,,,,,,,,,,,,,,,,,,,0,0.77,0.77,,,,0.72,0.12,0.12,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,Kepler-150,288.2340698,40.520905,,,13.817,13.422,13.367,,,,-0.136,,,,,,0.94,0.14,0.14,,,,,5560,100,100,,,
Kepler-1544 b,Confirmed,,,,,,,0.159,0.006,0.008,168.811174,0.001271,0.001271,,,,,,,,,,,2016,5/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1544,297.28499,49.212456,,,12.48,11.985,11.903,349,,,0.02,0.109,0.113,0.81,0.03,0.02,0.74,0.02,0.02,,,,,4886,56.64,73.93,,,
Kepler-1638 b,Confirmed,,,,,,,0.167,0.02,0.029,259.33683,0.01303,0.01303,,,,,,,,,,,2016,5/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1638,295.482407,48.524445,,,13.55,13.204,13.138,879,,,-0.01,0.188,0.141,0.97,0.06,0.05,0.95,0.08,0.17,,,,,5710,111.43,96.7,,,
Kepler-186 f,Confirmed,,,,,,,0.099027744,0.011597844,0.012489986,129.9459,0.0012,0.0012,0.356,0.048,0.048,,,,,,,,2014,4/18/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-186,298.6527099,43.955017,,,12.473,11.824,11.605,151,18,18,-0.28,0.1,0.1,0.478,0.055,0.055,0.472,0.052,0.052,,,,,3788,54,54,,,
Kepler-283 c,Confirmed,,,,,,,0.162,0.011,0.011,92.743711,0.001413,0.001413,0.341,,,,,,,,,,2014,3/6/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-283,293.6137391,47.838997,,,13.927,13.263,13.139,,,,-0.26,,,,,,0.57,0.02,0.02,,,,,4351,100,100,,,
Kepler-296 f,Confirmed,,,,,,,0.16,0.01,0.01,63.335879,0.001292,0.001292,0.263,,,,,,,,,,2014,3/6/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-296,286.5400086,49.437325,,,13.391,12.807,12.6,,,,0.168,,,,,,0.56,0.02,0.02,,,,,4249,100,100,,,
Kepler-440 b,Confirmed,,,,,,,0.166,0.021,0.017,101.11141,0.00087,0.00068,0.242,0.066,0.041,0.34,0.12,0.19,89.93,0.07,0.18,,2015,1/7/15,,,,,,,,,,2455756.299,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-440,285.35,41.45222223,15.5,,,,,261,16,46,-0.3,0.15,0.15,0.575,0.047,0.047,0.559,0.029,0.054,,1.3,0.6,0.2,4134,154,154,,,
Kepler-442 b,Confirmed,,,,,,,0.12,0.0098,0.016,112.3053,0.0028,0.0028,0.409,0.209,0.06,0.04,0.08,0.04,89.94,0.06,0.12,,2015,1/9/15,,,,,,,,,,2455849.558,0.0067,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-442,285.3666667,39.28000002,15.3,,,,,342,22,22,-0.37,0.1,0.1,0.609,0.03,0.03,0.598,0.024,0.024,,2.9,8.1,0.2,4402,100,100,,,
Kepler-452 b,Confirmed,,,,,,,0.145,0.02,0.021,384.843,0.012,0.007,1.046,0.015,0.019,0.035,0.75,0.75,89.806,0.049,0.134,,2015,7/24/15,,,,,,,,,,2455147.979,0.0135,0.0135,,,,,,,0.69,0.16,0.45,,,,,,,265,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-452,296.0036792,44.27756113,13.7,,,,,,,,0.21,0.09,0.09,1.037,0.047,0.054,1.11,0.09,0.15,G2,6,2,2,5757,85,85,,,
Kepler-453 (AB) b,Confirmed,0.03,0.03,0.03,,,,0.55,0.0031,0.0031,240.503,0.053,0.053,,,,,,,89.4338,0.0056,0.0056,,2014,2/23/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,Kepler-453 A,283.2412959,46.37847224,,,,,,,,,,,,0.934,0.01,0.01,0.833,0.011,0.011,,,,,5527,100,100,,,
Kepler-62 e,Confirmed,0.113,0.113,0,,,,0.144,0.0045,0.0045,122.3874,0.0008,0.0008,0.427,0.004,0.004,,,,89.98,0.02,0.02,,2013,5/22/14,,,,,,,,,,2454983.404,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869,,,,,
Kepler-62 f,Confirmed,0.11,0.11,0,,,,0.126,0.0063,0.0063,267.291,0.005,0.005,0.718,0.007,0.007,,,,89.9,0.03,0.03,,2013,5/22/14,,,,,,,,,,2455412.71,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869,,,,,
LHS 1140 b,Confirmed,0.0209,0.00573,0.00573,,,,0.128,0.0089,0.0089,24.73712,0.00025,0.00025,0.0875,0.0041,0.0041,0.29,0.29,0,89.912,0.07,0.07,,2017,5/2/17,,,,,,,,,,2456915.7,0.0054,0.0054,,,,,,,,,,,,,5.34,1.1,1.1,230,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,LHS 1140,11.24583335,-15.2713889,14.15,,,,,12.47,0.42,0.42,-0.24,0.1,0.1,0.146,0.019,0.019,0.186,0.013,0.013,M4.5,5,0,8,3131,100,100,,,
TRAPPIST-1 d,Confirmed,0.0013,0.00085,0.00085,,,,0.0689,0.0027,0.0027,4.04961,0.000063,0.000063,0.02144,0.00063,0.00066,0,0,0.7,89.75,0.16,0.16,,2016,9/1/17,,,,,,,,,,2457670.142,0.00035,0.00035,,,,,,,0.17,0.11,0.11,,,,,,,288,5.6,5.6,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 e,Confirmed,0.002,0.0018,0.0018,,,,0.0819,0.0035,0.0035,6.099615,0.000011,0.000011,0.02817,0.00087,0.00083,0,0.085,0.085,89.86,0.12,0.1,,2017,9/1/17,,,,,,,,,,2457660.379,0.00038,0.00038,,,,,,,0.12,0.09,0.11,,,,,,,251.3,4.9,4.9,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 f,Confirmed,0.0021,0.00057,0.00057,,,,0.09323,0.0034,0.0034,9.20669,0.000015,0.000015,0.0371,0.0011,0.0011,0,0,0.063,89.68,0.034,0.034,,2017,9/1/17,,,,,,,,,,2457671.398,0.00023,0.00023,,,,,,,0.382,0.035,0.035,,,,,,,219,4.2,4.2,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285
TRAPPIST-1 g,Confirmed,0.00422,0.0028,0.0028,,,,0.1005,0.0037,0.0037,12.35294,0.00012,0.00012,0.0451,0.0014,0.0014,0,0,0.061,89.71,0.025,0.025,,2017,9/1/17,,,,,,,,,,2457665.349,0.00021,0.00021,,,,,,,0.421,0.031,0.031,,,,,,,198.6,3.8,3.8,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,TRAPPIST-1,346.6208333,-5.041388896,18.8,,,,,12.1,0.4,0.4,0.04,0.08,0.08,0.08,0.009,0.009,0.117,0.004,0.004,M8,0.5,,,2550,55,55,,,2MASS J23062928-0502285